"","marker","chr","pos","trait","lod","threshold","iteration","var_exp","eff_size","ci_l_marker","ci_l_pos","ci_r_marker","ci_r_pos","probe_chr","probe_start","probe_stop"
"565","V_20128399","V",20128399,"A_12_P105388",23.8678496452484,3.77,1,0.484680628784788,-0.6939973508187,"V_20103494",20103494,"V_20199810",20199810,"V",20198055,20198114
"566","III_1362120","III",1362120,"A_12_P105396",4.60954212504153,3.77,1,0.124805749820011,-0.347704853537974,"III_1188573",1188573,"III_1460260",1460260,"I",9989510,9989569
"567","II_13471245","II",13471245,"A_12_P105397",28.5128975615808,3.77,1,0.543428174845932,-0.734853990655797,"II_13449283",13449283,"II_13531485",13531485,"II",13491845,13491904
"568","V_5045041","V",5045041,"A_12_P105398",4.46432724114057,3.77,1,0.113993932722516,0.336566471517023,"V_4959381",4959381,"V_5237566",5237566,"V",18548908,18548967
"569","V_20128399","V",20128399,"A_12_P105415",59.163954934919,3.77,1,0.785868770725498,-0.883492414567876,"V_20113987",20113987,"V_20128871",20128871,"V",20162797,20162954
"570","IV_787345","IV",787345,"A_12_P105439",56.7792614825238,3.77,1,0.776221885422015,0.878259635171492,"IV_784688",784688,"IV_872114",872114,"IV",799174,799233
"571","IV_8127338","IV",8127338,"A_12_P105443",6.99117173681459,3.77,1,0.17908143036359,-0.421830279034494,"IV_7698565",7698565,"IV_8736539",8736539,"IV",7801920,7801979
"572","X_4893004","X",4893004,"A_12_P105445",13.0511054485038,3.77,1,0.302806577909321,0.548545471244727,"X_4674201",4674201,"X_5390152",5390152,"III",11388628,11388671
"573","IV_4037719","IV",4037719,"A_12_P105453",19.8480671452879,3.77,1,0.491700865391292,0.698592482029454,"IV_3953879",3953879,"IV_4295474",4295474,"IV",3996334,3996389
"574","X_4758185","X",4758185,"A_12_P105475",4.81648859563577,3.77,1,0.125876820317011,0.353673779352965,"X_4175841",4175841,"X_5638607",5638607,"IV",7664073,7664132
"575","II_12271051","II",12271051,"A_12_P105481",6.42384322911666,3.77,1,0.166220369365549,-0.406417221876071,"II_12058748",12058748,"II_12544521",12544521,"II",12257650,12257709
"576","III_12135744","III",12135744,"A_12_P105487",4.04095936188373,3.77,1,0.107719524425219,-0.327172803178268,"III_11912949",11912949,"III_12216028",12216028,"III",11511126,11511185
"577","IV_2790891","IV",2790891,"A_12_P105494",3.85326073410344,3.77,1,0.112803495628142,-0.334725723312192,"IV_2425163",2425163,"IV_2885000",2885000,"IV",2184560,2184619
"578","V_11032432","V",11032432,"A_12_P105501",4.03698629073079,3.77,1,0.106676878690191,0.325585556996688,"V_10121039",10121039,"V_13155451",13155451,"V",6832131,6832190
"579","III_6681836","III",6681836,"A_12_P105508",4.294811027952,3.77,1,0.115824316851772,-0.339244133846898,"III_4834284",4834284,"III_8523397",8523397,"III",6622908,6622967
"580","II_13672258","II",13672258,"A_12_P105514",10.1643374290763,3.77,1,0.24871187540736,0.497139467127552,"II_13669810",13669810,"II_13776440",13776440,"II",13724979,13725038
"581","III_4205381","III",4205381,"A_12_P105518",9.19476737535043,3.77,1,0.229235888963222,-0.477996907303419,"III_3672463",3672463,"III_5224162",5224162,"III",4379459,4379518
"582","V_9663270","V",9663270,"A_12_P105532",5.08277822503624,3.77,1,0.13238870664274,0.362691971889427,"V_8337914",8337914,"V_10176051",10176051,"V",20509858,20509917
"583","III_1758762","III",1758762,"A_12_P105540",5.58033118668914,3.77,1,0.151292798134452,0.388960960483374,"III_1534184",1534184,"III_2069983",2069983,"III",1683624,1683683
"584","III_2742096","III",2742096,"A_12_P105545",3.92479376674137,3.77,1,0.105577728342973,0.323903870728479,"III_2592281",2592281,"III_2900133",2900133,"III",2810931,2810990
"585","III_1273074","III",1273074,"A_12_P105547",17.0105918583954,3.77,1,0.394686696195951,-0.624418654058116,"III_1198473",1198473,"III_1362169",1362169,"III",1257224,1257283
"586","V_4882186","V",4882186,"A_12_P105553",44.1847038432819,3.77,1,0.679391438168311,-0.82138507538786,"V_4847449",4847449,"V_4889127",4889127,"V",4882207,4882266
"587","IV_15683717","IV",15683717,"A_12_P105568",5.06588379693702,3.77,1,0.133612909989569,-0.364379715711974,"IV_15625988",15625988,"IV_15983752",15983752,"III",8048763,8048933
"588","I_5497576","I",5497576,"A_12_P105590",29.3084661690269,3.77,1,0.359179075315652,0.597427893072114,"I_5480997",5480997,"I_5961172",5961172,"V",7452797,7452856
"589","III_7946405","III",7946405,"A_12_P105593",3.83594025514347,3.77,1,0.103650670247163,0.320934228837186,"III_3627021",3627021,"III_9125163",9125163,"III",8016619,8016678
"590","IV_16205584","IV",16205584,"A_12_P105624",4.32891963990351,3.77,1,0.11469289871161,0.337532634550892,"IV_16051015",16051015,"IV_16497251",16497251,"IV",16347295,16347354
"591","IV_4761504","IV",4761504,"A_12_P105633",14.9430643544721,3.77,1,0.341180066706192,0.58226650266277,"IV_4755912",4755912,"IV_4844241",4844241,"X",6476404,6476463
"592","III_9758797","III",9758797,"A_12_P105661",5.48394804651188,3.77,1,0.146158629337958,0.381102863641111,"III_9191600",9191600,"III_10595502",10595502,"III",9337078,9337137
"593","X_5810100","X",5810100,"A_12_P105674",6.56516181041666,3.77,1,0.169540631130274,0.410456255711526,"X_5638607",5638607,"X_6695080",6695080,"IV",14224264,14224323
"594","X_4025890","X",4025890,"A_12_P105675",35.8785617527087,3.77,1,0.632726636540064,-0.79293582573348,"X_3991931",3991931,"X_4175841",4175841,"X",4021304,4021363
"595","I_13792781","I",13792781,"A_12_P105693",18.4834876510835,3.77,1,0.408612508611807,-0.637214735093703,"I_13788926",13788926,"I_13875092",13875092,"I",13807157,13807216
"596","X_2636716","X",2636716,"A_12_P105695",4.02432267271162,3.77,1,0.109494764068024,0.329857723500801,"X_2594676",2594676,"X_3863779",3863779,"X",12728202,12728261
"597","V_20445160","V",20445160,"A_12_P105696",16.6383847660027,3.77,1,0.363864101378731,-0.601311606333139,"V_20234594",20234594,"V_20921615",20921615,"V",20589858,20589917
"598","III_10235415","III",10235415,"A_12_P105697",12.3695425178745,3.77,1,0.317747975715709,-0.561658396152888,"III_9987327",9987327,"III_10418745",10418745,"I",11446380,11446439
"599","II_8102088","II",8102088,"A_12_P105715",3.92791233544156,3.77,1,0.107018057050054,0.326105791897137,"II_7367480",7367480,"II_9842467",9842467,"II",8804877,8804936
"600","V_676576","V",676576,"A_12_P105740",53.6871516427334,3.77,1,0.769411709230768,-0.874345230952594,"V_675557",675557,"V_684064",684064,"V",938137,938196
"601","IV_3932378","IV",3932378,"A_12_P105745",10.0662099542685,3.77,1,0.246643965781414,-0.49506842544323,"IV_3895145",3895145,"IV_4295474",4295474,"IV",3947163,3947268
"602","X_4721441","X",4721441,"A_12_P105752",4.07347024496752,3.77,1,0.107056976684892,0.326165084529474,"X_4504557",4504557,"X_5676445",5676445,"I",14621199,14621258
"603","I_10575568","I",10575568,"A_12_P105766",4.04560506077542,3.77,1,0.0973395359502008,0.311010188918131,"I_10147200",10147200,"I_10826560",10826560,"I",8571634,8571693
"604","V_533022","V",533022,"A_12_P105768",4.53496413875361,3.77,1,0.118992537916524,0.343866481610101,"V_8249",8249,"V_690972",690972,"V",210239,210298
"605","V_16436223","V",16436223,"A_12_P105770",32.5622846743591,3.77,1,0.580940087816242,-0.759747400715753,"V_16434531",16434531,"V_16469911",16469911,"V",16481871,16481930
"606","IV_4761504","IV",4761504,"A_12_P105774",5.39379103143772,3.77,1,0.140460312296338,-0.373599938578414,"IV_4566633",4566633,"IV_5847069",5847069,"I",1621568,1621627
"607","I_11868440","I",11868440,"A_12_P105792",3.77599528229808,3.77,1,0.0805469158900799,-0.282914000207506,"I_11666065",11666065,"I_12052126",12052126,"I",11967441,11967567
"608","II_14608351","II",14608351,"A_12_P105800",36.7035459216271,3.77,1,0.696712627693966,0.831727962367552,"II_14606333",14606333,"II_15274701",15274701,"II",15052021,15052080
"609","V_4617905","V",4617905,"A_12_P105801",5.67894056043986,3.77,1,0.141581490030378,0.375088043541174,"V_4258778",4258778,"V_4792309",4792309,"V",4170140,4170199
"610","X_5291269","X",5291269,"A_12_P105808",5.59804762547596,3.77,1,0.143228826753639,0.377263855308833,"X_4630882",4630882,"X_5949176",5949176,"III",13621212,13621271
"611","V_17938642","V",17938642,"A_12_P105858",15.113605204468,3.77,1,0.364302088110804,0.601545598981228,"V_17864186",17864186,"V_17967873",17967873,"V",17954864,17954923
"612","I_398834","I",398834,"A_12_P105861",10.3747892099394,3.77,1,0.166889772160623,0.407234761473116,"I_398834",398834,"I_628622",628622,"I",330279,330338
"613","III_1198787","III",1198787,"A_12_P105880",23.4137034633902,3.77,1,0.492574896898223,-0.68729689241074,"III_1198473",1198473,"III_1275807",1275807,"III",1253405,1253464
"614","II_8007499","II",8007499,"A_12_P105885",4.11356355552266,3.77,1,0.113147351864621,-0.335293972995381,"II_6654199",6654199,"II_9430890",9430890,"II",8544943,8545002
"615","X_3843271","X",3843271,"A_12_P105893",4.95303971282094,3.77,1,0.130337650920939,-0.359885978147729,"X_3789476",3789476,"X_4566632",4566632,"II",9322031,9322090
"616","IV_13871463","IV",13871463,"A_12_P105900",16.8919782918999,3.77,1,0.374790959200356,-0.610261308393276,"IV_13754511",13754511,"IV_14165470",14165470,"IV",13897997,13898055
"617","IV_12801753","IV",12801753,"A_12_P105926",17.557724288627,3.77,1,0.391311578160469,-0.623566293670923,"IV_12697226",12697226,"IV_13006565",13006565,"IV",12829475,12829534
"618","III_2254736","III",2254736,"A_12_P105938",4.66612653406614,3.77,1,0.14992015752096,-0.38572580773376,"III_2156137",2156137,"III_2355745",2355745,"III",2236811,2236870
"619","II_4120191","II",4120191,"A_12_P105949",8.37447626997786,3.77,1,0.211620615555866,0.458573514595227,"II_4119401",4119401,"II_4411217",4411217,"II",3567254,3567313
"620","X_4958735","X",4958735,"A_12_P105951",14.3145626220583,3.77,1,0.35092557238589,0.590371343811799,"X_4753798",4753798,"X_5526747",5526747,"X",12945585,12945644
"621","X_5291269","X",5291269,"A_12_P105954",5.24689129001185,3.77,1,0.134910781049036,0.366145170077033,"X_4630882",4630882,"X_5676445",5676445,"IV",2804702,2804761
"622","IV_8778092","IV",8778092,"A_12_P105959",4.08229753836955,3.77,1,0.106710918898641,0.325637499443679,"IV_7381956",7381956,"IV_9672074",9672074,"X",13265032,13265091
"623","V_1038256","V",1038256,"A_12_P105975",9.79552583683464,3.77,1,0.240909087011932,-0.489278995585638,"V_1005065",1005065,"V_1436415",1436415,"V",1132605,1132664
"624","V_2271007","V",2271007,"A_12_P105976",7.56896693670851,3.77,1,0.196662349157373,-0.442069540951292,"V_2270981",2270981,"V_2272126",2272126,"V",2252244,2252303
"625","III_3627021","III",3627021,"A_12_P105982",6.01626153074641,3.77,1,0.15973777824974,-0.402043525411425,"III_3568455",3568455,"III_5224162",5224162,"III",7572066,7572125
"626","V_1436415","V",1436415,"A_12_P105999",4.70224320372546,3.77,1,0.125869975501995,0.353664163347017,"V_1005065",1005065,"V_1737453",1737453,"I",3833906,3833965
"627","V_2819815","V",2819815,"A_12_P106012",7.24048036051183,3.77,1,0.188812727259388,-0.433157276090433,"V_2282576",2282576,"V_3177786",3177786,"IV",8615762,8615821
"628","I_14734963","I",14734963,"A_12_P106019",21.5371549273445,3.77,1,0.452352000187749,0.670425817862511,"I_14682966",14682966,"I_14776886",14776886,"I",14721945,14722004
"629","III_4161821","III",4161821,"A_12_P106041",3.90939712460517,3.77,1,0.105525328178018,-0.323823481033606,"III_3481204",3481204,"III_5593439",5593439,"V",11515175,11515234
"630","X_12236381","X",12236381,"A_12_P106059",3.93829510662224,3.77,1,0.106261727404473,0.324951403525975,"X_10545442",10545442,"X_12932361",12932361,"X",11394576,11394635
"631","IV_4755912","IV",4755912,"A_12_P106061",12.1774148215701,3.77,1,0.315329924782575,0.559561695891935,"IV_4656772",4656772,"IV_4818285",4818285,"V",3231430,3231489
"632","III_4461397","III",4461397,"A_12_P106075",51.96568067199,3.77,1,0.765773934234568,-0.872275831926939,"III_4388630",4388630,"III_4911067",4911067,"III",4712382,4712441
"633","X_5526747","X",5526747,"A_12_P106084",4.13646889689154,3.77,1,0.109651638535463,0.33009393449244,"X_4630882",4630882,"X_5922452",5922452,"II",5945445,5945504
"634","V_533022","V",533022,"A_12_P106085",33.1886601275518,3.77,1,0.597557738238049,-0.770568444225782,"V_527699",527699,"V_537511",537511,"V",533947,534006
"635","IV_6109938","IV",6109938,"A_12_P106087",4.23295467643785,3.77,1,0.111544647052721,0.332931086550974,"IV_4757132",4757132,"IV_6766024",6766024,"V",11513814,11513873
"636","V_1977814","V",1977814,"A_12_P106098",6.35002407793203,3.77,1,0.168777717829287,-0.409515201815845,"V_1972858",1972858,"V_2271884",2271884,"V",2013266,2013325
"637","X_5341098","X",5341098,"A_12_P106100",11.7702997280144,3.77,1,0.277894120114458,0.525496297182703,"X_4639456",4639456,"X_5638607",5638607,"V",11963105,11963164
"638","II_1041031","II",1041031,"A_12_P106109",4.44570815008901,3.77,1,0.0980645789543992,0.312166334821991,"II_6368",6368,"II_1618934",1618934,"II",1097974,1098033
"639","IV_13098759","IV",13098759,"A_12_P106112",10.0756222368158,3.77,1,0.247803672609066,0.496230953231314,"IV_12868784",12868784,"IV_13206263",13206263,"IV",12847885,12847944
"640","X_6468293","X",6468293,"A_12_P106113",6.72938630310484,3.77,1,0.176912433611878,-0.419284839693387,"X_6366333",6366333,"X_8208528",8208528,"X",7937866,7937978
"641","II_3331906","II",3331906,"A_12_P106129",6.23211209469939,3.77,1,0.154168381923979,-0.391406143869828,"II_3223762",3223762,"II_3542182",3542182,"II",3479502,3479561
"642","V_5722437","V",5722437,"A_12_P106150",7.97790995505624,3.77,1,0.192595279960989,-0.437474557994007,"V_5699019",5699019,"V_7093878",7093878,"V",6811259,6811506
"643","V_4169873","V",4169873,"A_12_P106152",4.47050446598708,3.77,1,0.120199094226616,0.345584414018259,"V_4121406",4121406,"V_4516065",4516065,"I",13236315,13236373
"644","IV_12262083","IV",12262083,"A_12_P106154",4.8413858250393,3.77,1,0.128553046873842,-0.357413677893105,"IV_11570976",11570976,"IV_12672698",12672698,"IV",7924703,7924829
"645","III_977059","III",977059,"A_12_P106158",6.90740035648299,3.77,1,0.179433543894747,-0.422253346409049,"III_941809",941809,"III_1189916",1189916,"III",1021225,1021284
"646","IV_5002403","IV",5002403,"A_12_P106164",4.06469640262606,3.77,1,0.106559518864711,-0.326430296222391,"IV_4281922",4281922,"IV_6109938",6109938,"II",33498,33557
"647","IV_4693652","IV",4693652,"A_12_P106176",48.8410407847581,3.77,1,0.724369638435523,-0.848418443072751,"IV_4656772",4656772,"IV_4750189",4750189,"IV",4719899,4720002
"648","IV_4761504","IV",4761504,"A_12_P106182",9.36716943777629,3.77,1,0.246378558823331,0.494696888456636,"IV_4566633",4566633,"IV_5023053",5023053,"V",2766272,2766331
"649","IV_1048458","IV",1048458,"A_12_P106195",11.985734948615,3.77,1,0.267670663487588,-0.515739469301325,"IV_1033604",1033604,"IV_1113082",1113082,"X",2467360,2467419
"650","II_12691188","II",12691188,"A_12_P106209",4.10434941581914,3.77,1,0.108353266288189,-0.328133812955348,"II_12544141",12544141,"II_12731999",12731999,"II",12578332,12578391
"651","X_3843271","X",3843271,"A_12_P106222",4.48762346236864,3.77,1,0.118870737753227,0.343690446550929,"X_3716925",3716925,"X_5810100",5810100,"IV",12790294,12790353
"652","II_2332147","II",2332147,"A_12_P106226",38.5349458492367,3.77,1,0.566910382564497,-0.75466005628306,"II_2316511",2316511,"II_2334376",2334376,"II",2287442,2287501
"653","X_4175841","X",4175841,"A_12_P106227",4.36521958503876,3.77,1,0.116280183661942,0.339924788375485,"X_3907685",3907685,"X_4501238",4501238,"IV",8488042,8488101
"654","I_9631422","I",9631422,"A_12_P106234",5.55105921592815,3.77,1,0.122146710048811,-0.348394161470333,"I_9523381",9523381,"I_10093210",10093210,"I",9902275,9902778
"655","I_12884357","I",12884357,"A_12_P106236",4.64597097870875,3.77,1,0.1190842629941,-0.343998990354923,"I_12804294",12804294,"I_13023158",13023158,"I",12902273,12902332
"656","V_10815911","V",10815911,"A_12_P106245",4.16048388832108,3.77,1,0.119661609232206,-0.344734693886431,"V_9005254",9005254,"V_11806498",11806498,"V",721755,721814
"657","V_1977814","V",1977814,"A_12_P106247",4.88468020891964,3.77,1,0.13129311736278,-0.361202677850378,"V_1813788",1813788,"V_2486777",2486777,"V",2006658,2006717
"658","III_12382090","III",12382090,"A_12_P106255",5.46293533880123,3.77,1,0.140779295930801,-0.374023918424849,"III_12292760",12292760,"III_12540486",12540486,"IV",8334611,8334670
"659","V_15834792","V",15834792,"A_12_P106262",8.60746790149489,3.77,1,0.209962723516531,-0.456773689306687,"V_15782684",15782684,"V_16165290",16165290,"V",15894486,15894545
"660","X_5361887","X",5361887,"A_12_P106272",11.423991387247,3.77,1,0.270997971544031,0.518935045825479,"X_4753798",4753798,"X_5676445",5676445,"II",13236909,13236968
"661","X_4322768","X",4322768,"A_12_P106295",4.88908110556295,3.77,1,0.128770986927902,-0.357716516961367,"X_3946591",3946591,"X_5176675",5176675,"I",13343624,13343683
"662","II_1418895","II",1418895,"A_12_P106299",42.2345389651979,3.77,1,0.488988099965216,-0.696792723308907,"II_1417887",1417887,"II_1619961",1619961,"II",1656388,1656447
"663","V_18326576","V",18326576,"A_12_P106305",3.92102368287366,3.77,1,0.106265856332941,0.324937940145794,"V_18137835",18137835,"V_18648657",18648657,"V",18794632,18794691
"664","IV_13871463","IV",13871463,"A_12_P106320",11.2471273485058,3.77,1,0.288762992554514,0.535548215619724,"IV_13408872",13408872,"IV_14165470",14165470,"IV",13984505,13984564
"665","III_10884949","III",10884949,"A_12_P106328",7.93758680554704,3.77,1,0.203916984410072,-0.450974620585926,"III_10500696",10500696,"III_11052616",11052616,"MtDNA",716,775
"666","IV_2691064","IV",2691064,"A_12_P106355",28.4879417738656,3.77,1,0.558055733078171,-0.744678419583515,"IV_2675332",2675332,"IV_2759710",2759710,"IV",2716790,2716849
"667","X_4958735","X",4958735,"A_12_P106361",24.0083408479324,3.77,1,0.479520432922443,0.690293112484151,"X_4674201",4674201,"X_5361887",5361887,"IV",7191171,7191230
"668","X_4758185","X",4758185,"A_12_P106373",13.6640057773456,3.77,1,0.315956205240485,0.560329420337338,"X_4674201",4674201,"X_5361887",5361887,"X",7926367,7926426
"669","X_16515500","X",16515500,"A_12_P106377",18.1074677775634,3.77,1,0.414982197685683,0.642082468021067,"X_16478903",16478903,"X_17709225",17709225,"X",17293062,17293121
"670","IV_15619530","IV",15619530,"A_12_P106382",4.80903419804302,3.77,1,0.126271273671159,0.354227490064298,"IV_15393010",15393010,"IV_15983752",15983752,"III",9716002,9716061
"671","X_15410652","X",15410652,"A_12_P106389",3.83133027794288,3.77,1,0.10562219928884,-0.323938791829413,"X_15130022",15130022,"X_15930189",15930189,"V",391470,391529
"672","V_1372698","V",1372698,"A_12_P106394",14.9005006888829,3.77,1,0.343175866723651,-0.583967060662865,"V_1029076",1029076,"V_1582251",1582251,"V",1373710,1373769
"673","I_1451409","I",1451409,"A_12_P106398",4.37671867977375,3.77,1,0.0406893635588983,0.20108071914529,"I_1036866",1036866,"I_1623032",1623032,"III",3503792,3503851
"674","IV_13374799","IV",13374799,"A_12_P106410",8.72466203537382,3.77,1,0.219400345159139,0.466926620331814,"IV_13117565",13117565,"IV_13418977",13418977,"IV",9102578,9102637
"675","X_3843271","X",3843271,"A_12_P106418",4.05284842310046,3.77,1,0.108018213987674,-0.327626088935655,"X_3789476",3789476,"X_5638607",5638607,"X",2525748,2525807
"676","IV_7328515","IV",7328515,"A_12_P106424",8.19922473682431,3.77,1,0.205289413209929,0.451661692890775,"IV_6601583",6601583,"IV_7396833",7396833,"IV",8666377,8666436
"677","X_3843271","X",3843271,"A_12_P106432",4.00918282885628,3.77,1,0.106920695770823,-0.32595741833055,"X_3716925",3716925,"X_4656473",4656473,"III",6439718,6439777
"678","IV_4755912","IV",4755912,"A_12_P106436",6.64286183516738,3.77,1,0.167483469077493,0.407958470835038,"IV_4566633",4566633,"IV_5163110",5163110,"X",8709740,8709799
"679","IV_2530706","IV",2530706,"A_12_P106445",6.97757134383423,3.77,1,0.182395386220887,-0.425732598501742,"IV_2231355",2231355,"IV_2650991",2650991,"IV",2395944,2396003
"680","I_12098639","I",12098639,"A_12_P106446",4.36634584307882,3.77,1,0.0909340157724189,-0.30060290039109,"I_11959037",11959037,"I_12343109",12343109,"I",11680729,11680788
"681","X_4958735","X",4958735,"A_12_P106464",5.11288310856206,3.77,1,0.131714081221142,0.361781274768624,"X_3907685",3907685,"X_5676445",5676445,"III",5707016,5707075
"682","I_12607684","I",12607684,"A_12_P106465",26.7172175758096,3.77,1,0.452813254280754,-0.670711331742117,"I_12597637",12597637,"I_12649342",12649342,"I",12626783,12626842
"683","X_16496969","X",16496969,"A_12_P106471",9.96918032257629,3.77,1,0.248561500148425,-0.496989155086183,"X_16401229",16401229,"X_17709225",17709225,"X",17056933,17056992
"684","I_14696837","I",14696837,"A_12_P106488",8.44531682282502,3.77,1,0.207639023262068,-0.454239053203694,"I_14639202",14639202,"I_14763117",14763117,"I",14674513,14674572
"685","IV_3373167","IV",3373167,"A_12_P106489",9.37796955036193,3.77,1,0.237853261585323,-0.48756660910336,"IV_3354799",3354799,"IV_3469456",3469456,"IV",3373153,3373212
"686","IV_1240607","IV",1240607,"A_12_P106512",11.0799352044153,3.77,1,0.260020974344201,-0.508306277725284,"IV_1231327",1231327,"IV_1331702",1331702,"IV",1264183,1264242
"687","II_12066947","II",12066947,"A_12_P106516",21.0843116559618,3.77,1,0.45132333931184,0.669663100641516,"II_12043778",12043778,"II_12076112",12076112,"II",12072218,12072277
"688","V_2302069","V",2302069,"A_12_P106518",18.9147555504224,3.77,1,0.418979717872584,-0.645247723984632,"V_2282576",2282576,"V_2486879",2486879,"V",2322049,2322108
"689","IV_12963367","IV",12963367,"A_12_P106521",28.4660479643509,3.77,1,0.549783436023898,0.739138470494283,"IV_12868784",12868784,"IV_13006565",13006565,"IV",12910690,12910749
"690","X_12859131","X",12859131,"A_12_P106540",22.7184944754826,3.77,1,0.479314341176093,-0.6901169347212,"X_12840430",12840430,"X_13066152",13066152,"X",12919343,12919452
"691","V_20113987","V",20113987,"A_12_P106544",5.15064344393762,3.77,1,0.135159654062878,-0.366482732670314,"V_20005738",20005738,"V_20445160",20445160,"V",20087865,20087924
"692","V_7093878","V",7093878,"A_12_P106559",30.8007746162987,3.77,1,0.587407553970357,0.763759343540596,"V_7086818",7086818,"V_7335689",7335689,"V",7145696,7145755
"693","IV_787345","IV",787345,"A_12_P106582",33.6333578195459,3.77,1,0.598818725486315,0.771396506331285,"IV_780690",780690,"IV_872114",872114,"II",11983024,11983373
"694","III_6681836","III",6681836,"A_12_P106588",54.6755728593059,3.77,1,0.778132143422978,-0.879339655975585,"III_6330537",6330537,"III_6815334",6815334,"III",6614901,6614960
"695","III_12251835","III",12251835,"A_12_P106605",7.21894363914875,3.77,1,0.18323290347708,-0.426708911647168,"III_12168916",12168916,"III_12292760",12292760,"III",12250810,12250869
"696","II_14282734","II",14282734,"A_12_P106628",10.2447822306944,3.77,1,0.249346558085683,0.497773382915591,"II_14218855",14218855,"II_15274701",15274701,"II",14320760,14320819
"697","II_12716738","II",12716738,"A_12_P106643",17.2697701704997,3.77,1,0.376630664614037,-0.611769497683327,"II_12695696",12695696,"II_12762690",12762690,"II",12724990,12725049
"698","I_11464112","I",11464112,"A_12_P106650",10.7515474949044,3.77,1,0.189647043391725,-0.43533752201958,"I_11376289",11376289,"I_11575781",11575781,"I",11453891,11453950
"699","IV_4550944","IV",4550944,"A_12_P106665",4.13314340693798,3.77,1,0.107355147800477,-0.326618980146085,"IV_4356886",4356886,"IV_5208413",5208413,"III",5196556,5196615
"700","X_4721441","X",4721441,"A_12_P106673",3.94530970328324,3.77,1,0.103877615357115,-0.321285382520799,"X_4536045",4536045,"X_5576572",5576572,"III",7345884,7345943
"701","V_527643","V",527643,"A_12_P106675",10.3940054895505,3.77,1,0.251307867531923,0.499727240508196,"V_8249",8249,"V_690972",690972,"V",521838,521897
"702","X_4758185","X",4758185,"A_12_P106682",4.21159399876763,3.77,1,0.113500343521757,0.335809593729798,"X_4284268",4284268,"X_5810100",5810100,"X",3531587,3531646
"703","IV_4693652","IV",4693652,"A_12_P106686",48.9106745760667,3.77,1,0.724838187999176,-0.848692793216157,"IV_4656772",4656772,"IV_4750189",4750189,"IV",4719899,4720135
"704","IV_15573322","IV",15573322,"A_12_P106689",6.52150048414718,3.77,1,0.168516264297405,-0.409214385840177,"IV_15398099",15398099,"IV_15954820",15954820,"X",7203696,7203755
"705","V_3491728","V",3491728,"A_12_P106698",17.8528619128734,3.77,1,0.397974763555444,-0.628865468618792,"V_3427120",3427120,"V_3655574",3655574,"V",3354675,3354734
"706","IV_13356132","IV",13356132,"A_12_P106699",4.81277506611807,3.77,1,0.126898072347769,0.355105577629839,"IV_13068189",13068189,"IV_13871463",13871463,"IV",13310593,13310652
"707","II_3542182","II",3542182,"A_12_P106702",3.77980699058455,3.77,1,0.101132568887575,0.317011853083131,"II_3412935",3412935,"II_4134290",4134290,"II",4524235,4524291
"708","V_11833225","V",11833225,"A_12_P106704",6.0141840629286,3.77,1,0.155253632895815,-0.392781357695441,"V_11600826",11600826,"V_12931140",12931140,"V",11889465,11889524
"709","IV_10327996","IV",10327996,"A_12_P106711",45.7441927206529,3.77,1,0.680472546892884,-0.822242300924161,"IV_10282788",10282788,"IV_10434018",10434018,"IV",10351423,10351482
"710","X_4322768","X",4322768,"A_12_P106715",4.82167398469459,3.77,1,0.133066863570739,0.363581385220457,"X_3934740",3934740,"X_5341098",5341098,"X",11286452,11286511
"711","V_17568121","V",17568121,"A_12_P106744",52.8795513449525,3.77,1,0.753652750137687,-0.865380145382878,"V_17559376",17559376,"V_17717410",17717410,"V",17655568,17655627
"712","I_14898607","I",14898607,"A_12_P106748",14.2455403392249,3.77,1,0.350880860515305,-0.590069298449665,"I_14838357",14838357,"I_15058920",15058920,"II",4069670,4069729
"713","I_1451409","I",1451409,"A_12_P106752",6.49517190025955,3.77,1,0.058606903656162,0.241326141927934,"I_1419429",1419429,"I_1516275",1516275,"I",1441123,1441182
"714","X_4893004","X",4893004,"A_12_P106753",10.0146782202322,3.77,1,0.254051088148804,0.50237406323474,"X_4753798",4753798,"X_5341098",5341098,"X",4820705,4820764
"715","III_996547","III",996547,"A_12_P106779",32.713869814454,3.77,1,0.606842605444239,-0.776547477804295,"III_982777",982777,"III_1063790",1063790,"III",1001824,1001883
"716","IV_8179349","IV",8179349,"A_12_P106790",3.92116584848819,3.77,1,0.103277340970872,0.320355736558436,"IV_4750189",4750189,"IV_9672074",9672074,"V",1765189,1765248
"717","X_10449274","X",10449274,"A_12_P106814",6.40831117970483,3.77,1,0.199719029431531,0.445190360057109,"X_8931681",8931681,"X_10711645",10711645,"X",12978966,12979025
"718","V_19733784","V",19733784,"A_12_P106816",45.2764888450596,3.77,1,0.706234406540104,-0.83767968992237,"V_19726319",19726319,"V_19749352",19749352,"V",19748397,19748456
"719","I_1706821","I",1706821,"A_12_P106821",5.15480227359083,3.77,1,0.0357243109584622,-0.188413454289935,"I_1699196",1699196,"I_1745486",1745486,"I",1707620,1707679
"720","IV_12079110","IV",12079110,"A_12_P106826",4.24499607949399,3.77,1,0.113270631225347,0.335497000460912,"IV_9987122",9987122,"IV_12644720",12644720,"IV",10329071,10329130
"721","V_1038256","V",1038256,"A_12_P106829",7.79148723956756,3.77,1,0.19702229536112,-0.442473910449002,"V_708390",708390,"V_1113279",1113279,"V",2049371,2049430
